Reagent	InChIKey
1,1,1-Trichloroethane	UOCLXMDMGBRAIB-UHFFFAOYSA-N
1,1,2,2-Tetrachloroethane	QPFMBZIOSGYJDE-UHFFFAOYSA-N 
1,2-Dichloroethane	WSLDOOZREJYCGB-UHFFFAOYSA-N
1,3-Benzenediol	LUKBXSAWLPMMSZ-UHFFFAOYSA-N
1-Butanol 	LRHPLDYGYMQRHN-UHFFFAOYSA-N
1-Hexanol	ZSIAUFGUXNUGDI-UHFFFAOYSA-N
1-Methyl-2-pyrrolidinone	SECXISVLQFMRJM-UHFFFAOYSA-N
1-Octanol	KBPLFHHGFOOTCA-UHFFFAOYSA-N
1-Propanol	BDERNNFJNOPAEC-UHFFFAOYSA-N  
2-Butoxyethyl acetate	NQBXSWAWVZHKBZ-UHFFFAOYSA-N
2-Methoxyethanol	XNWFRZJHXBZDAG-UHFFFAOYSA-N
2-Methoxyethyl acetate	XLLIQLLCWZCATF-UHFFFAOYSA-N
2-Methyl-1-propanol	ZXEKIIBDNHEJCQ-UHFFFAOYSA-N
2-Pentanone	XNLICIUVMPYHGG-UHFFFAOYSA-N
2-Propanol	KFZMGEQAYNKOFK-UHFFFAOYSA-N
2-Propenoic acid	WBYWAXJHAXSJNI-UHFFFAOYSA-N
(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal 	GZCGUPFRVQAUEE-SLPGGIOYSA-N
(2S,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal	GZCGUPFRVQAUEE-KVTDHHQDSA-N
3-Methyl-1-butanol	PHTQWCKDNZKARW-UHFFFAOYSA-N  
3-Pentanone	FDPIMTJIUBPUKL-UHFFFAOYSA-N  
4-Dimethylaminopyridine	VHYFNPMBLIVWCW-UHFFFAOYSA-N
4-Methyl-2-pentanone	NTIZESTWPVYFNL-UHFFFAOYSA-N
Acetate	QTBSBXVTEAMEQO-UHFFFAOYSA-M
Acetic acid	QTBSBXVTEAMEQO-UHFFFAOYSA-N
Acetic anhydride	WFDIJRYMOXRFFG-UHFFFAOYSA-N
Acetone	CSCPPACGZOOCGX-UHFFFAOYSA-N
Acetonitrile	WEVYAHXRMPXWCK-UHFFFAOYSA-N
Acetylene	HSFWRNGVRCDJHI-UHFFFAOYSA-N
Acetyl radical	TUCNEACPLKLKNU-UHFFFAOYSA-N
Adenosine	OIRDTQYFTABQOQ-KQYNXXCUSA-N
Adenosine 5'-monophosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
Aluminum	XAGFODPZIPBFFR-UHFFFAOYSA-N
Amide Ion	HYGWNUKOUCZBND-UHFFFAOYSA-N
Ammonia	QGZKDVFQNNGYKY-UHFFFAOYSA-N
Ammonium	QGZKDVFQNNGYKY-UHFFFAOYSA-O
Ammonium hydroxide	VHUUQVKOLVNVRT-UHFFFAOYSA-N
Argon	XKRFYHLGVUSROY-UHFFFAOYSA-N
Aspartate(2-)	CKLJMWTZIZZHCS-UHFFFAOYSA-L
Azobisisobutyronitrile	OZAIFHULBGXAKX-UHFFFAOYSA-N
Barium hydroxide	RQPZNWPYLFFXCP-UHFFFAOYSA-L
Benzaldehyde	HUMNYLRZRPPJDN-UHFFFAOYSA-N
Benzene	UHOVQNZJYSORNB-UHFFFAOYSA-N
Benzyl alcohol	WVDDGKGOMKODPV-UHFFFAOYSA-N
Butane	IJDNQMDRQITEOD-UHFFFAOYSA-N
Butanone	ZWEHNKRNPOVVGH-UHFFFAOYSA-N
Butyl acetate	DKPFZGUDAPQIHT-UHFFFAOYSA-N
Butylated hydroxytoluene	NLZUEZXRPGMBCV-UHFFFAOYSA-N
Calcium 	FAQLAUHZSGTTLN-UHFFFAOYSA-N
Calcium chloride	UXVMQQNJUSDDNG-UHFFFAOYSA-L
Carbonate	BVKZGUZCCUSVTD-UHFFFAOYSA-L
Carbon C-13	OKTJSMMVPCPJKN-OUBTZVSYSA-N
Carbon Dioxide	CURLTUGMZLYLDI-UHFFFAOYSA-N
Carbon disulfide	QGJOPFRUJISHPQ-UHFFFAOYSA-N
Carbonic acid	BVKZGUZCCUSVTD-UHFFFAOYSA-N
Carbon tetrachloride	VZGDMQKNWNREIO-UHFFFAOYSA-N
Carbonyldiimidazole	PFKFTWBEEFSNDU-UHFFFAOYSA-N
Ceric ammonium nitrate	WIBGOERAEYJBOT-UHFFFAOYSA-N
Chloric acid	XTEGARKTQYYJKE-UHFFFAOYSA-N
Chloride	VEXZGXHMUGYJMC-UHFFFAOYSA-M
Chloride atom	ZAMOUSCENKQFHK-UHFFFAOYSA-N
Chloridotris	RIOQSEWOXXDEQQ-UHFFFAOYSA-N
